Name,Version,LatestVersion,License,Website,ComponentType,Labels,Files,Vulnerabilities
jetty-plus,9.3.3.v20150827,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://www.eclipse.org/jetty",Unknown,[],"[{""Timestamp"":1440671768000,""File"":""56e2c4b8a1b8b168aa0ae23540ab3fb5779620ef.jar""}]",[]
commons-lang,3.1,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""utility""]","[{""Timestamp"":1320879362000,""File"":""905075e6c80f206bbe6cf1e809d2caa69f420c76.jar""}]",[]
slf4j-log4j12,1.6.0,,"{""Name"":""MIT"",""URL"":""https://opensource.org/licenses/MIT"",""Type"":""permissive""}",http://www.slf4j.org,Unknown,[],"[{""Timestamp"":1273322082000,""File"":""63810ca9ef9726b38d31b061670dafc951415671.jar""}]",[]
maven-resolver-api,1.3.1,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1551791242000,""File"":""3826135fe2decf345235459bc7a0d215b0a4ba17.jar""}]",[]
management-ehcache-v2,2.10.6,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1540273444000,""File"":""038076997b10f5c762a210ea8b9f6099da35ac5f.jar""}]",[]
ecj,,,"{""Name"":""EPL"",""URL"":""http://www.eclipse.org/legal/epl-v10.html"",""Type"":""permissive""}",,java,"[""evolutionary_computing""]","[{""Timestamp"":1358946224000,""File"":""ebb04771ae21dec8682e4153e97404d9933a9c13.jar""}]",[]
maven-antrun-plugin,1.4,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1274787366000,""File"":""e8db11010eefd683716f2bb43155c514eb115f0a.jar""}]",[]
jackson-annotations,2.9.8,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://github.com/FasterXML/jackson",Unknown,[],"[{""Timestamp"":1544879544000,""File"":""ba7f0e6f8f1b28d251eeff2a5604bed34c53ff35.jar""}]",[]
commons-io,1.4,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://commons.apache.org/proper/commons-io/",Unknown,[],"[{""Timestamp"":1200539122000,""File"":""a8762d07e76cfde2395257a5da47ba7c1dbd3dce.jar""}]",[]
maven-artifact,3.6.0,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1554845710000,""File"":""ef4d4c4b35da575dcc7c12686530756c2a7dc082.jar""}]",[]
management-ehcache-v2,2.10.0,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
commons-lang,3.8,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""utility""]","[{""Timestamp"":1549404588000,""File"":""18484e6eeca02e1a97a77d81036eb9d6ebd15f3d.jar""}]",[]
c3p0,0.9.2.1,,"{""Name"":""EPL"",""URL"":""http://www.eclipse.org/legal/epl-v10.html"",""Type"":""permissive""}","https://github.com/swaldman/c3p0",Unknown,[],"[{""Timestamp"":1363776450000,""File"":""11b29ccb286d34eb804b7f6a3786809c9bd2e1b7.jar""}]","[{""CVE"":""CVE-2019-5427"",""Date"":1555968540000,""CVSS"":""5.0"",""Type"":""Exact Match""}]"
commons-lang,3.9,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""utility""]","[{""Timestamp"":1554931058000,""File"":""0122c7cee69b53ed4a7681c03d4ee4c0e2765da5.jar""}]",[]
commons-codec,,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""codec"",""text""]","[{""Timestamp"":1510187350000,""File"":""308b62c17d0364cc76335f2c6ca23ad2848d1679.jar""}]",[]
openmrs-sdk-maven-plugin,3.13.6,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}","https://wiki.openmrs.org/display/docs/OpenMRS+SDK",Unknown,[],"[{""Timestamp"":1592500520000,""File"":""def4030d2405f980186054337c50133e1de60a2b.jar""}]",[]
lucene-sandbox,4.10.4,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1425055132000,""File"":""1600fe003fd6fef68cebca0802c96227501feb99.jar""}]",[]
jackson-annotations,2.9.0,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://github.com/FasterXML/jackson",Unknown,[],"[{""Timestamp"":1501361600000,""File"":""07c10d545325e3a6e72e06381afe469fd40eb701.jar""}]",[]
spring-context-support,4.1.4,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","https://spring.io/projects/spring-framework",Unknown,[],"[{""Timestamp"":1419906944000,""File"":""4ec9b2b9957273d84ac5fdaad29e4eb9716db71e.jar""}]",[]
javassist,3.18.1,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""utility""]","[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
